Table.Folder.Placemark.ExtendedData.SchemaData.SimpleData.Element:Text,Table.Folder.Placemark.ExtendedData.SchemaData.SimpleData.Attribute:name,long,lat
Venustiano Carranza,ALCALDIAS,-99.11440,19.43717
Cuauhtémoc,ALCALDIAS,-99.14621,19.43728
Cuauhtémoc,ALCALDIAS,-99.14680,19.43729
Cuauhtémoc,ALCALDIAS,-99.14615,19.43730
Cuauhtémoc,ALCALDIAS,-99.13119,19.43736
Cuauhtémoc,ALCALDIAS,-99.13200,19.43741
Cuauhtémoc,ALCALDIAS,-99.13503,19.43788
Cuauhtémoc,ALCALDIAS,-99.13590,19.43797
Cuauhtémoc,ALCALDIAS,-99.15060,19.43823
Cuauhtémoc,ALCALDIAS,-99.15078,19.43827
Cuauhtémoc,ALCALDIAS,-99.13909,19.43843
Cuauhtémoc,ALCALDIAS,-99.13997,19.43864
Cuauhtémoc,ALCALDIAS,-99.15541,19.44035
Cuauhtémoc,ALCALDIAS,-99.14326,19.44048
Cuauhtémoc,ALCALDIAS,-99.14855,19.44058
Venustiano Carranza,ALCALDIAS,-99.11344,19.44132
Cuauhtémoc,ALCALDIAS,-99.15245,19.44214
Cuauhtémoc,ALCALDIAS,-99.15242,19.44259
Cuauhtémoc,ALCALDIAS,-99.15441,19.44335
Cuauhtémoc,ALCALDIAS,-99.13897,19.44439
Venustiano Carranza,ALCALDIAS,-99.11218,19.44470
Cuauhtémoc,ALCALDIAS,-99.15227,19.44486
Cuauhtémoc,ALCALDIAS,-99.14721,19.44603
Cuauhtémoc,ALCALDIAS,-99.15200,19.44613
Cuauhtémoc,ALCALDIAS,-99.15313,19.44684
Cuauhtémoc,ALCALDIAS,-99.13563,19.44738
Venustiano Carranza,ALCALDIAS,-99.11036,19.44969
Cuauhtémoc,ALCALDIAS,-99.13283,19.45060
Cuauhtémoc,ALCALDIAS,-99.14590,19.45178
Cuauhtémoc,ALCALDIAS,-99.13086,19.45312
Gustavo A. Madero,ALCALDIAS,-99.10845,19.45366
Cuauhtémoc,ALCALDIAS,-99.14505,19.45556
Gustavo A. Madero,ALCALDIAS,-99.10749,19.45606
Cuauhtémoc,ALCALDIAS,-99.14939,19.45674
Cuauhtémoc,ALCALDIAS,-99.12913,19.45733
Cuauhtémoc,ALCALDIAS,-99.14642,19.45963
Cuauhtémoc,ALCALDIAS,-99.14406,19.45989
Gustavo A. Madero,ALCALDIAS,-99.10549,19.46097
Gustavo A. Madero / Cuauhtémoc,ALCALDIAS,-99.12744,19.46175
Cuauhtémoc,ALCALDIAS,-99.14401,19.46261
Cuauhtémoc,ALCALDIAS,-99.14406,19.46329
Gustavo A. Madero,ALCALDIAS,-99.12635,19.46465
Gustavo A. Madero,ALCALDIAS,-99.05952,19.46492
Gustavo A. Madero,ALCALDIAS,-99.07553,19.46686
Gustavo A. Madero,ALCALDIAS,-99.06183,19.46705
Gustavo A. Madero,ALCALDIAS,-99.14095,19.46733
Gustavo A. Madero,ALCALDIAS,-99.10280,19.46734
Gustavo A. Madero,ALCALDIAS,-99.08098,19.46740
Gustavo A. Madero,ALCALDIAS,-99.12518,19.46776
Gustavo A. Madero / Azcapotzalco,ALCALDIAS,-99.14385,19.46799
Gustavo A. Madero,ALCALDIAS,-99.07160,19.46843
Gustavo A. Madero,ALCALDIAS,-99.13899,19.46870
Gustavo A. Madero,ALCALDIAS,-99.06500,19.46980
Gustavo A. Madero,ALCALDIAS,-99.08636,19.47100
Gustavo A. Madero,ALCALDIAS,-99.10124,19.47102
Gustavo A. Madero,ALCALDIAS,-99.07091,19.47114
Gustavo A. Madero / Azcapotzalco,ALCALDIAS,-99.14504,19.47116
Gustavo A. Madero,ALCALDIAS,-99.12389,19.47119
Gustavo A. Madero,ALCALDIAS,-99.07938,19.47252
Gustavo A. Madero,ALCALDIAS,-99.06867,19.47313
Gustavo A. Madero / Azcapotzalco,ALCALDIAS,-99.14616,19.47415
Gustavo A. Madero,ALCALDIAS,-99.08837,19.47432
Gustavo A. Madero,ALCALDIAS,-99.12232,19.47538
Gustavo A. Madero,ALCALDIAS,-99.09912,19.47603
Gustavo A. Madero,ALCALDIAS,-99.13247,19.47664
Gustavo A. Madero,ALCALDIAS,-99.07252,19.47697
Gustavo A. Madero,ALCALDIAS,-99.09293,19.47709
Gustavo A. Madero,ALCALDIAS,-99.07805,19.47846
Gustavo A. Madero,ALCALDIAS,-99.12108,19.47868
Gustavo A. Madero,ALCALDIAS,-99.09717,19.47876
Gustavo A. Madero,ALCALDIAS,-99.07530,19.47985
Gustavo A. Madero / Azcapotzalco,ALCALDIAS,-99.14833,19.47985
Gustavo A. Madero,ALCALDIAS,-99.09751,19.47987
Gustavo A. Madero,ALCALDIAS,-99.10119,19.48037
Gustavo A. Madero,ALCALDIAS,-99.10534,19.48204
Gustavo A. Madero,ALCALDIAS,-99.12763,19.48252
Gustavo A. Madero,ALCALDIAS,-99.11935,19.48325
Gustavo A. Madero,ALCALDIAS,-99.09601,19.48336
Gustavo A. Madero,ALCALDIAS,-99.11393,19.48355
Gustavo A. Madero / Azcapotzalco,ALCALDIAS,-99.14986,19.48388
Gustavo A. Madero,ALCALDIAS,-99.11234,19.48389
Gustavo A. Madero,ALCALDIAS,-99.11960,19.48543
Gustavo A. Madero,ALCALDIAS,-99.12453,19.48629
Gustavo A. Madero,ALCALDIAS,-99.12240,19.48660
Gustavo A. Madero,ALCALDIAS,-99.11792,19.48699
Gustavo A. Madero,ALCALDIAS,-99.11795,19.48721
Gustavo A. Madero,ALCALDIAS,-99.11378,19.48728
Gustavo A. Madero,ALCALDIAS,-99.09418,19.48754
Gustavo A. Madero,ALCALDIAS,-99.11470,19.48804
Gustavo A. Madero,ALCALDIAS,-99.12790,19.48865
Gustavo A. Madero / Azcapotzalco,ALCALDIAS,-99.15196,19.48955
Gustavo A. Madero,ALCALDIAS,-99.13265,19.49043
Gustavo A. Madero,ALCALDIAS,-99.13911,19.49196
Gustavo A. Madero / Azcapotzalco,ALCALDIAS,-99.15317,19.49269
Gustavo A. Madero,ALCALDIAS,-99.12101,19.49304
Gustavo A. Madero,ALCALDIAS,-99.14517,19.49315
Gustavo A. Madero,ALCALDIAS,-99.09178,19.49330
Gustavo A. Madero,ALCALDIAS,-99.14804,19.49378
Gustavo A. Madero / Azcapotzalco,ALCALDIAS,-99.15306,19.49488
Gustavo A. Madero / Azcapotzalco,ALCALDIAS,-99.15446,19.49611
Azcapotzalco,ALCALDIAS,-99.15975,19.49635
Gustavo A. Madero,ALCALDIAS,-99.11972,19.49682
Gustavo A. Madero,ALCALDIAS,-99.09018,19.49709
Azcapotzalco,ALCALDIAS,-99.16555,19.49762
Gustavo A. Madero / Azcapotzalco,ALCALDIAS,-99.15588,19.49999
Gustavo A. Madero,ALCALDIAS,-99.08873,19.50061
Azcapotzalco,ALCALDIAS,-99.17888,19.50247
Gustavo A. Madero / Estado de México - Tlalnepantla,ALCALDIAS,-99.15727,19.50366
Azcapotzalco,ALCALDIAS,-99.18399,19.50401
Azcapotzalco,ALCALDIAS,-99.18860,19.50487
Gustavo A. Madero / Estado de México - Ecatepec,ALCALDIAS,-99.08593,19.50711
Azcapotzalco,ALCALDIAS,-99.19955,19.50717
Gustavo A. Madero / Estado de México - Tlalnepantla,ALCALDIAS,-99.15924,19.50861
Azcapotzalco / Estado de México - Tlalnepantla,ALCALDIAS,-99.19261,19.51094
Azcapotzalco,ALCALDIAS,-99.19731,19.51164
Gustavo A. Madero,ALCALDIAS,-99.16193,19.51551
Gustavo A. Madero,ALCALDIAS,-99.16377,19.51969
Gustavo A. Madero,ALCALDIAS,-99.16556,19.52272
Gustavo A. Madero,ALCALDIAS,-99.17011,19.52862
