Table.Folder.Placemark.ExtendedData.SchemaData.SimpleData.Element:Text,Table.Folder.Placemark.ExtendedData.SchemaData.SimpleData.Attribute:name,long,lat
Glorieta Cuitláhuac,NOMBRE,-99.13563,19.44738
Canal del Norte,NOMBRE,-99.11036,19.44969
Tres Culturas,NOMBRE,-99.13283,19.45060
Ricardo Flores Magón,NOMBRE,-99.14590,19.45178
Peralvillo,NOMBRE,-99.13086,19.45312
Río Consulado,NOMBRE,-99.10845,19.45366
Tlatelolco,NOMBRE,-99.14505,19.45556
Río Santa Coleta,NOMBRE,-99.10749,19.45606
Manuel González,NOMBRE,-99.14939,19.45674
Mercado Beethoven,NOMBRE,-99.12913,19.45733
San Simón,NOMBRE,-99.14642,19.45963
Tolnahuác,NOMBRE,-99.14406,19.45989
Oriente 101,NOMBRE,-99.10549,19.46097
Misterios,NOMBRE,-99.12744,19.46175
Circuito,NOMBRE,-99.14401,19.46261
Circuito,NOMBRE,-99.14406,19.46329
Clave,NOMBRE,-99.12635,19.46465
Villa de Aragón,NOMBRE,-99.05952,19.46492
482,NOMBRE,-99.07553,19.46686
Francisco Morazán,NOMBRE,-99.06183,19.46705
La Raza,NOMBRE,-99.14095,19.46733
Victoria,NOMBRE,-99.10280,19.46734
Loreto Fabela,NOMBRE,-99.08098,19.46740
Robles Domínguez,NOMBRE,-99.12518,19.46776
Hospital La Raza,NOMBRE,-99.14385,19.46799
414,NOMBRE,-99.07160,19.46843
La Raza,NOMBRE,-99.13899,19.46870
Colegio de Bachilleres 9,NOMBRE,-99.06500,19.46980
Pueblo San Juan de Aragón,NOMBRE,-99.08636,19.47100
Talismán,NOMBRE,-99.10124,19.47102
416 Oriente,NOMBRE,-99.07091,19.47114
Héroe de Nacozari,NOMBRE,-99.14504,19.47116
Excélsior,NOMBRE,-99.12389,19.47119
416 Poniente,NOMBRE,-99.07938,19.47252
La Pradera,NOMBRE,-99.06867,19.47313
Cuitláhuac,NOMBRE,-99.14616,19.47415
Casas Alemán,NOMBRE,-99.08837,19.47432
Necaxa,NOMBRE,-99.12232,19.47538
Río de Guadalupe,NOMBRE,-99.09912,19.47603
Potrero,NOMBRE,-99.13247,19.47664
Volcán de Fuego,NOMBRE,-99.07252,19.47697
Gran Canal,NOMBRE,-99.09293,19.47709
Deportivo Los Galeana,NOMBRE,-99.07805,19.47846
Avenida Talismán,NOMBRE,-99.12108,19.47868
San Juan de Aragón,NOMBRE,-99.09717,19.47876
Ampliación Providencia,NOMBRE,-99.07530,19.47985
Coltongo,NOMBRE,-99.14833,19.47985
San Juan de Aragón,NOMBRE,-99.09751,19.47987
Hospital General La Villa,NOMBRE,-99.10119,19.48037
Martín Carrera,NOMBRE,-99.10534,19.48204
Eúzkaro,NOMBRE,-99.12763,19.48252
Garrido,NOMBRE,-99.11935,19.48325
Preparatoria 3,NOMBRE,-99.09601,19.48336
Delegación Gustavo A. Madero,NOMBRE,-99.11393,19.48355
Magdalena de las Salinas,NOMBRE,-99.14986,19.48388
Delegación Gustavo A. Madero,NOMBRE,-99.11234,19.48389
La Villa,NOMBRE,-99.11960,19.48543
Deportivo 18 de Marzo,NOMBRE,-99.12453,19.48629
Deportivo 18 de Marzo,NOMBRE,-99.12240,19.48660
De Los Misterios,NOMBRE,-99.11792,19.48699
De Los Misterios,NOMBRE,-99.11795,19.48721
Hospital Infantil La Villa,NOMBRE,-99.11378,19.48728
El Coyol,NOMBRE,-99.09418,19.48754
Hospital Infantil La Villa,NOMBRE,-99.11470,19.48804
Riobamba,NOMBRE,-99.12790,19.48865
Poniente 128,NOMBRE,-99.15196,19.48955
Instituto Politécnico Nacional,NOMBRE,-99.13265,19.49043
San Bartolo,NOMBRE,-99.13911,19.49196
Poniente 134,NOMBRE,-99.15317,19.49269
Indios Verdes,NOMBRE,-99.12101,19.49304
Instituto del Petróleo,NOMBRE,-99.14517,19.49315
Vasco de Quiroga,NOMBRE,-99.09178,19.49330
Lindavista-Vallejo,NOMBRE,-99.14804,19.49378
Montevideo,NOMBRE,-99.15306,19.49488
Montevideo,NOMBRE,-99.15446,19.49611
Norte 45,NOMBRE,-99.15975,19.49635
Indios Verdes,NOMBRE,-99.11972,19.49682
5 de Mayo,NOMBRE,-99.09018,19.49709
Norte 59,NOMBRE,-99.16555,19.49762
Poniente 146,NOMBRE,-99.15588,19.49999
314 Memorial New's Divine,NOMBRE,-99.08873,19.50061
Tecnoparque,NOMBRE,-99.17888,19.50247
La Patera,NOMBRE,-99.15727,19.50366
UAM Azcapotzalco,NOMBRE,-99.18399,19.50401
Ferrocarriles Nacionales,NOMBRE,-99.18860,19.50487
Río de Los Remedios,NOMBRE,-99.08593,19.50711
El Rosario,NOMBRE,-99.19955,19.50717
Júpiter,NOMBRE,-99.15924,19.50861
De Las Culturas,NOMBRE,-99.19261,19.51094
Colegio de Bachilleres 1,NOMBRE,-99.19731,19.51164
Tres Anegas,NOMBRE,-99.16193,19.51551
Progreso Nacional,NOMBRE,-99.16377,19.51969
San José de la Escalera,NOMBRE,-99.16556,19.52272
Tenayuca,NOMBRE,-99.17011,19.52862
